400017713141,0,4,5,6,50,1579.45,46.58,1191.04
400017638880,0,1,13,34,47,5729.14,1410.97,2444.35
400017714797,0,3,4,21,34,2579.49,626.53,1402.32
400017711209,0,3,5,25,58,5930.24,1095.09,4270.47
400121470437,0,23,2,17,22,2705.61,775.85,1467.49
400015950807,0,1,7,14,36,3333.34,459.13,2534.42
400002995589,0,0,8,25,25,3134.49,723.63,1456.62
400017728338,0,0,8,37,150,3985.63,809.49,2900.94
400121450381,0,4,3,10,11,913.10,207.07,397.76
400017486770,0,14,4,13,32,612.84,65.11,402.75
400017632256,0,9,3,6,12,1319.20,250.25,766.93
400017702377,0,9,1,3,2,114.56,25.98,39.66
400017711669,0,9,5,5,19,1536.00,62.75,916.26
400011632861,0,9,1,,1,94.24,,14.95
400013565906,0,31,,4,12,366.94,12.86,226.02
400017717942,0,20,1,7,21,515.10,32.50,366.63
400017706517,0,45,,1,8,320.65,,302.42
400017742874,0,1,5,14,36,1915.58,347.27,1239.69
400017672753,0,5,2,5,13,1418.97,212.25,999.53
400017728430,0,40,,3,7,139.87,3.96,105.58
400121430032,1,205,,,29,2567.54,,2567.54
400017733122,0,50,,7,19,1262.90,248.91,921.37
400017715257,0,31,,5,7,509.62,99.02,323.85
400017540055,0,56,,10,15,628.47,242.48,354.64
400121474761,0,39,,7,9,436.83,148.84,280.27
400013344503,0,1,6,22,28,991.33,192.37,373.89
400017747106,0,14,2,14,17,1119.45,253.82,542.41
400017738366,1,181,,,4,206.93,,206.93
400017746646,0,0,1,3,20,411.47,32.95,337.32
400017720886,0,28,1,4,57,712.04,37.48,624.49
400008883923,0,12,2,4,14,1066.82,144.49,685.82
400121444217,0,74,,6,16,849.37,224.48,624.89
400017602908,0,0,2,7,13,702.72,160.64,520.87
400010904310,0,5,4,5,19,213.67,36.88,155.67
400011720462,0,40,,4,32,1138.20,40.46,1070.81
400121520318,0,4,7,8,19,732.37,123.24,389.29
400017361064,0,53,,2,7,216.28,6.98,188.06
400017705321,0,36,,6,13,1235.51,149.82,904.55
400017692809,0,2,7,9,36,2858.15,435.46,2046.17
400121428100,0,8,2,4,14,1170.54,97.58,723.99
400017731374,1,160,,,14,462.53,,462.53
400017734594,0,39,,4,10,771.58,162.40,521.23
400017737538,0,5,1,4,5,216.46,99.01,62.78
400121497761,1,344,,,1,28.13,,28.13
400017724198,1,343,,,3,46.43,,46.43
400017729166,1,344,,,1,210.48,,210.48
400017695385,0,51,,1,13,1228.26,,1101.43
400121484421,0,51,,3,5,364.98,52.69,281.19
400012014470,0,45,,1,4,131.13,,116.07
400003211932,1,343,,,1,53.42,,53.42
400121503206,1,343,,,2,44.61,,44.61
400121450013,1,298,,,38,214.18,,214.18
400121375936,1,262,,,15,1055.99,,1055.99
400014857006,1,313,,,16,346.73,,346.73
400017723094,1,336,,,6,296.50,,296.50
400017725762,0,4,2,2,12,320.85,,222.53
400017727050,0,1,5,,43,5150.59,,4417.07
400017480146,1,302,,,4,41.96,,41.96
400017589476,1,125,,,5,61.00,,61.00
400017688761,1,222,,,20,53.41,,53.41
400017114620,1,342,,,3,49.50,,49.50
400017627288,1,115,,2,3,297.73,93.51,204.22
400017712497,1,338,,,4,265.36,,265.36
400017700721,0,20,3,3,19,656.49,62.40,421.28
400121504678,1,341,,,4,30.97,,30.97
400121465653,0,7,2,2,9,399.44,55.26,261.02
400121344087,1,338,,,3,26.01,,26.01
400121502010,1,340,,,4,235.86,,235.86
400002088599,0,69,,2,4,242.87,20.98,221.89
400121484513,1,342,,,1,15.01,,15.01
400017070552,0,41,,1,2,59.01,,32.30
400017702193,1,311,,,9,284.90,,284.90
400017713785,1,103,,3,14,1070.50,46.06,1024.44
400016830456,1,342,,,1,39.51,,39.51
400015979235,1,342,,,1,23.08,,23.08
400017706701,0,79,,2,2,20.20,6.68,13.52
400017722358,0,59,,3,15,519.69,52.23,463.67
400017734410,1,341,,,1,19.92,,19.92
400017687841,1,332,,,3,179.19,,179.19
400017737998,0,20,2,16,19,957.87,453.31,451.99
400017736158,1,341,,,2,48.05,,48.05
400017715901,1,116,,2,19,815.34,44.37,770.97
400017726958,1,194,,,6,96.49,,96.49
400121393324,1,341,,,3,128.57,,128.57
400121495829,1,341,,,1,34.56,,34.56
400010971671,1,225,,,4,171.35,,171.35
400017734318,1,341,,,1,20.20,,20.20
400017154381,1,152,,,5,144.32,,144.32
400013553394,1,341,,,1,27.56,,27.56
400011374273,1,341,,,1,36.99,,36.99
400017739010,1,329,,,6,42.52,,42.52
400003297509,0,67,,2,1,526.08,163.36,362.72
400121502102,1,340,,,2,205.46,,205.46
400017738458,1,340,,,1,34.96,,34.96
400017738734,1,340,,,4,133.95,,133.95
400017654445,0,2,2,5,3,149.44,38.54,84.09
400017733306,1,340,,,3,53.82,,53.82
400017737906,1,302,,,2,33.30,,33.30
400121494817,1,340,,,1,15.41,,15.41
400017459998,1,126,,,3,58.87,,58.87
400121043363,0,79,,3,7,345.16,78.98,266.18
400015683186,1,340,,,1,7.34,,7.34
400017732478,1,340,,,1,6.50,,6.50
400014697059,0,7,1,4,8,174.94,44.54,79.49
400121529886,1,338,,,3,107.68,,107.68
400121529702,1,326,,,4,347.40,,347.40
400121529610,1,339,,,1,4.89,,4.89
400017741494,1,333,,,3,179.24,,179.24
400017742690,1,337,,,2,146.03,,146.03
400017728522,1,276,,,4,636.27,,636.27
400017715165,1,253,,,21,1502.34,,1502.34
400014014525,0,59,,1,4,822.40,,643.64
400121504954,1,188,,,5,64.72,,64.72
400017745818,1,334,,,3,240.79,,240.79
400017743058,1,336,,,5,316.25,,316.25
400121529334,1,337,,,2,123.28,,123.28
400014636414,0,15,1,1,7,223.56,7.50,208.69
400017740942,1,333,,,5,182.05,,182.05
400121531266,1,339,,,3,62.83,,62.83
400017740114,1,334,,,6,179.55,,179.55
400017741586,1,336,,,3,147.13,,147.13
400017736250,0,74,,4,19,748.59,120.19,628.40
400121529426,1,339,,,1,2.49,,2.49
400121528690,1,339,,,1,16.80,,16.80
400121529518,1,339,,,1,6.59,,6.59
400016434754,1,298,,,5,349.88,,349.88
400121525746,1,337,,,2,36.11,,36.11
400121531174,1,339,,,1,20.14,,20.14
400121528598,0,91,,1,1,13.95,10.00,3.95
